useParallel,fileNum,deviceNum,sensorNum,ptNum,dataType,encoding,deviceSelectRatio,sensorSelectRatio,timeSelectRatio,queryNum,writeTime,readTime
true,10,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,24000,8396
true,10,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,21371,7910
true,10,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,24050,7750
true,10,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,22490,8040
true,10,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,22400,7790
true,10,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,23830,7710
true,10,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,21710,7360
true,10,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,20930,7690
true,10,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,23720,7550
true,10,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,22020,7350
true,10,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,20610,8080
false,1,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,181030,16660
false,1,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,173360,16230
