useParallel,fileNum,deviceNum,sensorNum,ptNum,dataType,encoding,deviceSelectRatio,sensorSelectRatio,timeSelectRatio,queryNum,writeTime,readTime
true,1,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,175797,18490
true,2,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,48067,6950
true,3,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,30645,6640
true,4,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,24180,6570
true,5,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,20810,7200
true,6,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,21558,7940
true,7,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,27655,8240
true,8,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,21952,7560
true,9,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,22950,7520
true,10,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,25750,8150
true,11,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,35830,8200
true,12,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,35038,7950
true,1,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,166615,16210
true,2,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,44924,6901
true,3,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,29664,6720
true,4,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,23670,6350
true,5,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,21024,7110
true,6,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,19820,7820
true,7,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,19140,7390
true,8,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,18971,7430
true,9,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,20680,7200
true,10,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,20800,7290
true,11,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,20789,7330
true,12,100,1000,1000,DOUBLE,PLAIN,0.1,0.1,0.1,10,22244,7310
